,slurm_index,HUC4,HUC2,toBasin,level,PIXC
70,70,1102,11,1103,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
71,71,1104,11,1105,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
72,72,1103,11,1106,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
73,73,1108,11,1109,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
74,74,1106,11,1111,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
75,75,1112,11,1113,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
76,76,1113,11,1114,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_384_092R_20240410T071409_20240410T071420_PIC0_01.nc
77,77,1201,12,1204,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
78,78,1205,12,1206,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
79,79,1206,12,1207,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
80,80,1208,12,1209,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
81,81,1210,12,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
82,82,1211,12,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_315_209R_20240407T202351_20240407T202402_PIC0_01.nc
83,83,1301,13,1302,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
84,84,1302,13,1303,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
85,85,1303,13,1304,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
86,86,1305,13,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
87,87,1306,13,1307,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
88,88,1304,13,1308,3,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
89,89,1308,13,1309,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_106_088L_20240421T053618_20240421T053629_PIC0_01.nc
90,90,1402,14,1401,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_177_228R_20240402T220719_20240402T220730_PIC0_01.nc
91,91,1401,14,1403,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_177_228R_20240402T220719_20240402T220730_PIC0_01.nc
92,92,1404,14,1406,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_177_228R_20240402T220719_20240402T220730_PIC0_01.nc
93,93,1403,14,1407,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_177_228R_20240402T220719_20240402T220730_PIC0_01.nc
94,94,1502,15,1501,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_219R_20240403T220620_20240403T220631_PIC0_01.nc
95,95,1501,15,1503,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_219R_20240403T220620_20240403T220631_PIC0_01.nc
96,96,1504,15,1505,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_219R_20240403T220620_20240403T220631_PIC0_01.nc
97,97,1505,15,1507,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_219R_20240403T220620_20240403T220631_PIC0_01.nc
98,98,1508,15,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_219R_20240403T220620_20240403T220631_PIC0_01.nc
99,99,1601,16,1602,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_228R_20240403T220750_20240403T220801_PIC0_01.nc
100,100,1603,16,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_228R_20240403T220750_20240403T220801_PIC0_01.nc
101,101,1604,16,1605,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_228R_20240403T220750_20240403T220801_PIC0_01.nc
102,102,1606,16,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_205_228R_20240403T220750_20240403T220801_PIC0_01.nc
103,103,1701,17,1702,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
104,104,1704,17,1705,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
