,Name,huc4
160,050_104L,1211
160,050_104L,1210
161,050_104R,1211
162,050_105L,1211
163,050_105R,1211
164,050_106L,1211
165,050_106R,1211
165,050_106R,1308
166,050_107L,1211
167,050_107R,1309
167,050_107R,1211
167,050_107R,1308
168,050_108L,1309
168,050_108L,1211
169,050_108R,1309
169,050_108R,1211
169,050_108R,1312
169,050_108R,1308
170,050_109L,1309
170,050_109L,1211
171,050_109R,1309
171,050_109R,1211
171,050_109R,1312
172,050_110L,1309
12,063_216L,0302
13,063_216R,0302
13,063_216R,0301
14,063_217L,0302
14,063_217L,0301
15,063_217R,0302
15,063_217R,0301
16,063_218L,0301
17,063_218R,0301
18,063_219L,0301
18,063_219L,0208
18,063_219L,0204
19,063_219R,0301
20,063_221L,0208
20,063_221L,0206
20,063_221L,0204
21,063_221R,0208
21,063_221R,0204
22,063_222L,0208
22,063_222L,0206
22,063_222L,0204
23,063_222R,0208
23,063_222R,0204
24,063_223L,0208
24,063_223L,0206
24,063_223L,0204
25,063_223R,0204
26,063_224L,0206
26,063_224L,0204
27,063_224R,0204
28,063_225L,0204
28,063_225L,0203
29,063_225R,0204
29,063_225R,0203
30,063_226L,0204
30,063_226L,0203
30,063_226L,0202
31,063_226R,0204
31,063_226R,0203
32,063_227L,0204
32,063_227L,0203
32,063_227L,0202
33,063_227R,0203
33,063_227R,0110
33,063_227R,0202
34,063_228L,0204
34,063_228L,0202
35,063_228R,0203
35,063_228R,0110
35,063_228R,0202
36,063_229L,0204
36,063_229L,0205
36,063_229L,0202
37,063_229R,0110
37,063_229R,0202
38,063_230L,0205
38,063_230L,0202
39,063_230R,0110
39,063_230R,0202
39,063_230R,0108
40,063_231L,0202
40,063_231L,0429
40,063_231L,0430
41,063_231R,0202
41,063_231R,0108
41,063_231R,0430
42,063_232L,0202
42,063_232L,0429
42,063_232L,0430
43,063_232R,0108
43,063_232R,0430
44,063_233L,0429
44,063_233L,0430
45,063_233R,0430
46,063_234L,0429
46,063_234L,0430
47,063_234R,0430
48,063_235L,0430
49,063_235R,0430
30,065_204L,1304
31,065_204R,1304
32,065_205L,1304
33,065_205R,1304
34,065_206L,1304
35,065_206R,1304
36,065_207L,1304
36,065_207L,1307
37,065_207R,1304
38,065_208L,1304
38,065_208L,1307
39,065_208R,1304
39,065_208R,1307
40,065_209L,1307
41,065_209R,1307
42,065_210L,1307
43,065_210R,1209
43,065_210R,1307
43,065_210R,1208
44,065_211L,1307
44,065_211L,1208
45,065_211R,1307
45,065_211R,1208
46,065_212L,1307
46,065_212L,1208
47,065_212R,1208
48,065_213L,1208
48,065_213L,1205
49,065_213R,1208
49,065_213R,1205
50,065_214L,1205
51,065_214R,1205
52,065_215L,1205
52,065_215L,1112
53,065_215R,1205
53,065_215R,1113
53,065_215R,1112
54,065_216L,1112
54,065_216L,1109
55,065_216R,1112
55,065_216R,1109
56,065_217L,1109
56,065_217L,1110
57,065_217R,1112
57,065_217R,1109
57,065_217R,1110
58,065_218L,1109
58,065_218L,1110
59,065_218R,1109
59,065_218R,1110
60,065_219L,1110
60,065_219L,1104
61,065_219R,1110
61,065_219R,1104
62,065_220L,1104
63,065_220R,1110
63,065_220R,1104
64,065_221L,1104
64,065_221L,1103
65,065_221R,1104
65,065_221R,1103
66,065_222L,1103
66,065_222L,1026
67,065_222R,1103
67,065_222R,1026
68,065_223L,1026
68,065_223L,1025
69,065_223R,1103
69,065_223R,1026
70,065_224L,1026
70,065_224L,1025
71,065_224R,1026
71,065_224R,1025
72,065_225L,1025
73,065_225R,1026
73,065_225R,1025
74,065_226L,1025
74,065_226L,1019
74,065_226L,1020
75,065_226R,1025
75,065_226R,1020
76,065_227L,1019
76,065_227L,1020
76,065_227L,1021
76,065_227L,1018
77,065_227R,1020
77,065_227R,1021
78,065_228L,1021
79,065_228R,1021
80,065_229L,1021
80,065_229L,1015
81,065_229R,1022
81,065_229R,1021
81,065_229R,1015
82,065_230L,1015
82,065_230L,1014
82,065_230L,1017
83,065_230R,1022
83,065_230R,1015
83,065_230R,1014
83,065_230R,1017
84,065_231L,1015
84,065_231L,1014
84,065_231L,1017
85,065_231R,1014
85,065_231R,1017
86,065_232L,1014
87,065_232R,1014
87,065_232R,1016
88,065_233L,1014
88,065_233L,1013
88,065_233L,1016
89,065_233R,1014
89,065_233R,1016
90,065_234L,1014
