,old_slurm_index,slurm_index,index,files,cycle,pass,tile,version,counter
2880,5109,2880,8992,SWOT_L2_HR_PIXC_019_214_071R_20240807T095507_20240807T095518_PIC0_01.nc,19,214,071R,PIC0,1
2881,5111,2881,8994,SWOT_L2_HR_PIXC_019_214_072R_20240807T095517_20240807T095528_PIC0_01.nc,19,214,072R,PIC0,1
2882,5113,2882,8996,SWOT_L2_HR_PIXC_019_214_073R_20240807T095527_20240807T095538_PIC0_01.nc,19,214,073R,PIC0,1
2883,5115,2883,8999,SWOT_L2_HR_PIXC_019_214_074R_20240807T095537_20240807T095548_PIC0_01.nc,19,214,074R,PIC0,1
2884,5117,2884,9000,SWOT_L2_HR_PIXC_019_214_075R_20240807T095547_20240807T095554_PIC0_01.nc,19,214,075R,PIC0,1
2885,5124,2885,9009,SWOT_L2_HR_PIXC_019_242_071L_20240808T095538_20240808T095549_PIC0_01.nc,19,242,071L,PIC0,1
2886,5126,2886,9011,SWOT_L2_HR_PIXC_019_242_072L_20240808T095548_20240808T095559_PIC0_01.nc,19,242,072L,PIC0,1
2887,5127,2887,9010,SWOT_L2_HR_PIXC_019_242_072R_20240808T095548_20240808T095559_PIC0_01.nc,19,242,072R,PIC0,1
2888,5128,2888,9012,SWOT_L2_HR_PIXC_019_242_073L_20240808T095558_20240808T095609_PIC0_01.nc,19,242,073L,PIC0,1
2889,5129,2889,9013,SWOT_L2_HR_PIXC_019_242_073R_20240808T095558_20240808T095609_PIC0_01.nc,19,242,073R,PIC0,1
2890,5130,2890,9015,SWOT_L2_HR_PIXC_019_242_074L_20240808T095608_20240808T095619_PIC0_01.nc,19,242,074L,PIC0,1
2891,5131,2891,9014,SWOT_L2_HR_PIXC_019_242_074R_20240808T095608_20240808T095619_PIC0_01.nc,19,242,074R,PIC0,1
2892,5132,2892,9017,SWOT_L2_HR_PIXC_019_242_075L_20240808T095618_20240808T095629_PIC0_01.nc,19,242,075L,PIC0,1
2893,5133,2893,9016,SWOT_L2_HR_PIXC_019_242_075R_20240808T095618_20240808T095629_PIC0_01.nc,19,242,075R,PIC0,1
2894,5134,2894,9019,SWOT_L2_HR_PIXC_019_242_076L_20240808T095628_20240808T095639_PIC0_01.nc,19,242,076L,PIC0,1
2895,5135,2895,9018,SWOT_L2_HR_PIXC_019_242_076R_20240808T095628_20240808T095639_PIC0_01.nc,19,242,076R,PIC0,1
2896,5136,2896,9021,SWOT_L2_HR_PIXC_019_242_077L_20240808T095638_20240808T095641_PIC0_01.nc,19,242,077L,PIC0,1
2897,5137,2897,9020,SWOT_L2_HR_PIXC_019_242_077R_20240808T095638_20240808T095641_PIC0_01.nc,19,242,077R,PIC0,1
2898,5143,2898,9028,SWOT_L2_HR_PIXC_019_270_072L_20240809T095619_20240809T095630_PIC0_02.nc,19,270,072L,PIC0,2
2899,5149,2899,9033,SWOT_L2_HR_PIXC_019_270_075L_20240809T095649_20240809T095700_PIC0_02.nc,19,270,075L,PIC0,2
2900,5150,2900,9034,SWOT_L2_HR_PIXC_019_270_075R_20240809T095649_20240809T095700_PIC0_02.nc,19,270,075R,PIC0,2
2901,5151,2901,9036,SWOT_L2_HR_PIXC_019_270_076L_20240809T095659_20240809T095710_PIC0_02.nc,19,270,076L,PIC0,2
2902,5152,2902,9035,SWOT_L2_HR_PIXC_019_270_076R_20240809T095659_20240809T095710_PIC0_02.nc,19,270,076R,PIC0,2
2903,5153,2903,9038,SWOT_L2_HR_PIXC_019_270_077L_20240809T095709_20240809T095720_PIC0_02.nc,19,270,077L,PIC0,2
2904,5154,2904,9037,SWOT_L2_HR_PIXC_019_270_077R_20240809T095709_20240809T095720_PIC0_02.nc,19,270,077R,PIC0,2
2905,5155,2905,9040,SWOT_L2_HR_PIXC_019_270_078L_20240809T095719_20240809T095730_PIC0_02.nc,19,270,078L,PIC0,2
2906,5156,2906,9039,SWOT_L2_HR_PIXC_019_270_078R_20240809T095719_20240809T095730_PIC0_02.nc,19,270,078R,PIC0,2
2907,5157,2907,9041,SWOT_L2_HR_PIXC_019_270_079L_20240809T095729_20240809T095733_PIC0_02.nc,19,270,079L,PIC0,2
2908,5158,2908,9042,SWOT_L2_HR_PIXC_019_270_079R_20240809T095729_20240809T095733_PIC0_02.nc,19,270,079R,PIC0,2
2909,5159,2909,9044,SWOT_L2_HR_PIXC_019_270_081L_20240809T095750_20240809T095758_PIC0_02.nc,19,270,081L,PIC0,2
2910,5160,2910,9043,SWOT_L2_HR_PIXC_019_270_081R_20240809T095750_20240809T095758_PIC0_02.nc,19,270,081R,PIC0,2
2911,5161,2911,9046,SWOT_L2_HR_PIXC_019_285_233L_20240809T231502_20240809T231506_PIC0_01.nc,19,285,233L,PIC0,1
2912,5163,2912,9048,SWOT_L2_HR_PIXC_019_285_234L_20240809T231505_20240809T231516_PIC0_01.nc,19,285,234L,PIC0,1
2913,5165,2913,9050,SWOT_L2_HR_PIXC_019_285_235L_20240809T231515_20240809T231526_PIC0_01.nc,19,285,235L,PIC0,1
2914,5177,2914,9061,SWOT_L2_HR_PIXC_019_298_075L_20240810T095720_20240810T095731_PIC0_01.nc,19,298,075L,PIC0,1
2915,5178,2915,9063,SWOT_L2_HR_PIXC_019_298_076L_20240810T095730_20240810T095741_PIC0_01.nc,19,298,076L,PIC0,1
2916,5179,2916,9062,SWOT_L2_HR_PIXC_019_298_076R_20240810T095730_20240810T095741_PIC0_01.nc,19,298,076R,PIC0,1
2917,5180,2917,9065,SWOT_L2_HR_PIXC_019_298_077L_20240810T095740_20240810T095751_PIC0_01.nc,19,298,077L,PIC0,1
2918,5181,2918,9064,SWOT_L2_HR_PIXC_019_298_077R_20240810T095740_20240810T095751_PIC0_01.nc,19,298,077R,PIC0,1
2919,5182,2919,9067,SWOT_L2_HR_PIXC_019_298_078L_20240810T095750_20240810T095801_PIC0_01.nc,19,298,078L,PIC0,1
2920,5183,2920,9066,SWOT_L2_HR_PIXC_019_298_078R_20240810T095750_20240810T095801_PIC0_01.nc,19,298,078R,PIC0,1
2921,5184,2921,9069,SWOT_L2_HR_PIXC_019_298_079L_20240810T095800_20240810T095811_PIC0_01.nc,19,298,079L,PIC0,1
2922,5185,2922,9068,SWOT_L2_HR_PIXC_019_298_079R_20240810T095800_20240810T095811_PIC0_01.nc,19,298,079R,PIC0,1
2923,5186,2923,9071,SWOT_L2_HR_PIXC_019_298_080L_20240810T095810_20240810T095821_PIC0_01.nc,19,298,080L,PIC0,1
2924,5187,2924,9070,SWOT_L2_HR_PIXC_019_298_080R_20240810T095810_20240810T095821_PIC0_01.nc,19,298,080R,PIC0,1
2925,5188,2925,9074,SWOT_L2_HR_PIXC_019_298_081L_20240810T095820_20240810T095831_PIC0_01.nc,19,298,081L,PIC0,1
2926,5189,2926,9072,SWOT_L2_HR_PIXC_019_298_081R_20240810T095820_20240810T095831_PIC0_01.nc,19,298,081R,PIC0,1
2927,5190,2927,9076,SWOT_L2_HR_PIXC_019_298_082L_20240810T095830_20240810T095841_PIC0_01.nc,19,298,082L,PIC0,1
2928,5191,2928,9073,SWOT_L2_HR_PIXC_019_298_082R_20240810T095830_20240810T095841_PIC0_01.nc,19,298,082R,PIC0,1
2929,5192,2929,9077,SWOT_L2_HR_PIXC_019_298_083L_20240810T095840_20240810T095847_PIC0_01.nc,19,298,083L,PIC0,1
